2026-06-01 18:56:30 | INFO     | ss_crawler | [lens_scraper] Initializing Lens scraper...
2026-06-01 18:56:30 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-06-01 18:56:30 | INFO     | ss_crawler | [lens_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-06-01 18:56:30 | INFO     | ss_crawler | [lens_scraper] Loaded 481 lens references
2026-06-01 18:56:30 | INFO     | ss_crawler | [lens_scraper] Starting lens category scrape: https://www.ss.com/lv/electronics/photo-optics/objectives/
2026-06-01 18:56:30 | INFO     | ss_crawler | [lens_scraper] Fetching page 1: https://www.ss.com/lv/electronics/photo-optics/objectives/
2026-06-01 18:56:30 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/lv/electronics/photo-optics/objectives/
2026-06-01 18:56:33 | INFO     | ss_crawler | [lens_scraper] Found 32 listings on page 1
2026-06-01 18:56:33 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/ckcpb.html
2026-06-01 18:56:36 | INFO     | ss_crawler | [lens_scraper] Filtered [ckcpb]: filtered_jauns
2026-06-01 18:56:36 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/ckcpb.html
2026-06-01 18:56:38 | INFO     | ss_crawler | [lens_scraper] Filtered [ckcpb]: filtered_jauns
2026-06-01 18:56:38 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/ckcpb.html
2026-06-01 18:56:40 | INFO     | ss_crawler | [lens_scraper] Filtered [ckcpb]: filtered_jauns
2026-06-01 18:56:40 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/bemexf.html
2026-06-01 18:56:41 | INFO     | ss_crawler | [lens_scraper] Filtered [bemexf]: filtered_jauns
2026-06-01 18:56:41 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/fgede.html
2026-06-01 18:56:44 | INFO     | ss_crawler | [lens_scraper] Filtered [fgede]: filtered_jauns
2026-06-01 18:56:44 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/photo-optics/objectives/bkplcl.html
2026-06-01 18:56:47 | INFO     | ss_crawler | [lens_scraper] MODEL EXTRACTED: 'rf-s 18-45 stm'
2026-06-01 18:56:47 | INFO     | ss_crawler | [lens_scraper] MOUNT DETECT: RF
2026-06-01 18:56:47 | INFO     | ss_crawler | [lens_scraper] Detected focal: 18mm-45mm (from_model=True)
2026-06-01 18:56:47 | INFO     | ss_crawler | [lens_scraper] Using TITLE ONLY for matching: 'canon modelis: rf-s 18-45 stm...'
2026-06-01 18:56:47 | INFO     | ss_crawler | [lens_scraper] BEST MATCH: 18-45mm f/4.5-6.3 IS STM score=1.20
2026-06-01 18:56:47 | INFO     | ss_crawler | [lens_scraper] Matched [bkplcl]: Canon_18-45mm_f_4.5-6.3_IS_STM (100% confidence)
