2026-05-30 20:00:41 | INFO     | ss_crawler | [computer_scraper] Initializing computer scraper...
2026-05-30 20:00:42 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-30 20:00:42 | INFO     | ss_crawler | [computer_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-30 20:00:43 | INFO     | ss_crawler | [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-05-30 20:00:43 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
2026-05-30 20:00:43 | INFO     | ss_crawler | [ram_matcher] RAMMatcher initialized with 5284 RAM references
2026-05-30 20:00:43 | INFO     | ss_crawler | [ssd_matcher] SSDMatcher initialized with 2451 SSDs
2026-05-30 20:00:43 | INFO     | ss_crawler | [psu_matcher] PSUMatcher initialized with 2895 PSU references
2026-05-30 20:00:43 | INFO     | ss_crawler | [case_matcher] CaseMatcher initialized with 5742 case references
2026-05-30 20:00:45 | INFO     | ss_crawler | [motherboard_matcher] MotherboardMatcher initialized with 5732 motherboards
2026-05-30 20:00:45 | INFO     | ss_crawler | [computer_monitor_matcher] ComputerMonitorMatcher initialized with 20272 monitors
2026-05-30 20:00:45 | INFO     | ss_crawler | [computer_matcher] ComputerMatcher initialized: 5320 CPUs, 631 GPUs, 5284 RAMs, 2451 SSDs, 2895 PSUs, 5742 Cases, 5732 Motherboards, 20272 Monitors
2026-05-30 20:00:45 | INFO     | ss_crawler | [computer_scraper] Loaded references: 5320 CPUs, 631 GPUs, 5284 RAMs, 2451 SSDs, 2895 PSUs, 5742 Cases, 5732 Motherboards, 20272 Monitors
2026-05-30 20:00:45 | INFO     | ss_crawler | [computer_scraper] Initializing computer scraper...
2026-05-30 20:00:45 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-30 20:00:45 | INFO     | ss_crawler | [computer_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-30 20:00:46 | INFO     | ss_crawler | [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-05-30 20:00:46 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
2026-05-30 20:00:47 | INFO     | ss_crawler | [ram_matcher] RAMMatcher initialized with 5284 RAM references
2026-05-30 20:00:47 | INFO     | ss_crawler | [ssd_matcher] SSDMatcher initialized with 2451 SSDs
