2026-05-26 18:55:01 | INFO     | ss_crawler | [scraper] 🚀 Initializing scraper...
2026-05-26 18:55:01 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-26 18:55:01 | INFO     | ss_crawler | [scraper] 📦 Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-26 18:55:01 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
2026-05-26 18:55:01 | INFO     | ss_crawler | [scraper] 🎮 Loaded 631 GPU references
2026-05-26 18:55:01 | INFO     | ss_crawler | [scraper] 🚀 Initializing scraper...
2026-05-26 18:55:01 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-26 18:55:01 | INFO     | ss_crawler | [scraper] 📦 Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-26 18:55:01 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
2026-05-26 18:55:01 | INFO     | ss_crawler | [scraper] 🎮 Loaded 631 GPU references
2026-05-26 18:55:01 | INFO     | ss_crawler | [scraper] 🔍 Single URL mode: https://www.ss.com/msg/lv/electronics/computers/pc/dpfex.html
2026-05-26 18:55:01 | INFO     | ss_crawler | [crawler] Fetching single listing: https://www.ss.com/msg/lv/electronics/computers/pc/dpfex.html
2026-05-26 18:55:04 | INFO     | ss_crawler | [repository] ✨ dpfex: New
2026-05-26 18:56:31 | INFO     | ss_crawler | [computer_scraper] Initializing computer scraper...
2026-05-26 18:56:31 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-26 18:56:31 | INFO     | ss_crawler | [computer_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-26 18:56:32 | INFO     | ss_crawler | [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-05-26 18:56:32 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
2026-05-26 18:56:32 | INFO     | ss_crawler | [ram_matcher] RAMMatcher initialized with 5284 RAM references
2026-05-26 18:56:32 | INFO     | ss_crawler | [ssd_matcher] SSDMatcher initialized with 2451 SSDs
