2026-07-07 15:04:08 | INFO     | ss_crawler | [ram_scraper] Initializing RAM scraper...
2026-07-07 15:04:08 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-07-07 15:04:08 | INFO     | ss_crawler | [ram_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-07-07 15:04:08 | INFO     | ss_crawler | [ram_matcher] RAMMatcher initialized with 5284 RAM references
2026-07-07 15:04:08 | INFO     | ss_crawler | [ram_scraper] Loaded 5284 RAM references
2026-07-07 15:04:08 | INFO     | ss_crawler | [ram_scraper] Starting RAM scraper from https://www.ss.com/lv/electronics/computers/completing-pc/ram/
2026-07-07 15:04:08 | INFO     | ss_crawler | [ram_scraper] Fetching page 1: https://www.ss.com/lv/electronics/computers/completing-pc/ram/
2026-07-07 15:04:08 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/lv/electronics/computers/completing-pc/ram/
2026-07-07 15:04:11 | INFO     | ss_crawler | [ram_scraper] Found 32 listings on page 1, 32 new
2026-07-07 15:04:11 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/bkchfc.html
2026-07-07 15:04:14 | INFO     | ss_crawler | [ram_scraper] Matched bkchfc: SK Hynix HMT41GU6MFR8C-PB 8 GB (100% confidence)
2026-07-07 15:04:14 | INFO     | ss_crawler | [ram_scraper] 💰 bkchfc: Updated (title)
2026-07-07 15:04:14 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/bkchfc.html
2026-07-07 15:04:16 | INFO     | ss_crawler | [ram_scraper] Matched bkchfc: SK Hynix HMT41GU6MFR8C-PB 8 GB (100% confidence)
2026-07-07 15:04:16 | INFO     | ss_crawler | [ram_scraper] 💰 bkchfc: Updated (content)
2026-07-07 15:04:16 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/bkchfc.html
2026-07-07 15:04:20 | INFO     | ss_crawler | [ram_scraper] Matched bkchfc: SK Hynix HMT41GU6MFR8C-PB 8 GB (100% confidence)
2026-07-07 15:04:20 | INFO     | ss_crawler | [ram_scraper] 💰 bkchfc: Updated (content)
2026-07-07 15:04:20 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/fifdl.html
2026-07-07 15:04:22 | INFO     | ss_crawler | [ram_scraper] Matched fifdl: TEAMGROUP Elite Plus 16 GB (100% confidence)
2026-07-07 15:04:22 | INFO     | ss_crawler | [ram_scraper] ✨ fifdl: New
2026-07-07 15:04:22 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/djllh.html
2026-07-07 15:04:25 | INFO     | ss_crawler | [ram_scraper] Matched djllh: Corsair Vengeance RGB Pro 32 GB (100% confidence)
2026-07-07 15:04:25 | INFO     | ss_crawler | [ram_scraper] ✨ djllh: New
2026-07-07 15:04:25 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/fnbnn.html
2026-07-07 15:53:24 | INFO     | ss_crawler | [ram_scraper] Initializing RAM scraper...
2026-07-07 15:53:24 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-07-07 15:53:24 | INFO     | ss_crawler | [ram_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-07-07 15:53:24 | INFO     | ss_crawler | [ram_matcher] RAMMatcher initialized with 5284 RAM references
2026-07-07 15:53:24 | INFO     | ss_crawler | [ram_scraper] Loaded 5284 RAM references
2026-07-07 15:53:24 | INFO     | ss_crawler | [ram_scraper] Starting RAM scraper from https://www.ss.com/lv/electronics/computers/completing-pc/ram/
2026-07-07 15:53:24 | INFO     | ss_crawler | [ram_scraper] Fetching page 1: https://www.ss.com/lv/electronics/computers/completing-pc/ram/
2026-07-07 15:53:24 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/lv/electronics/computers/completing-pc/ram/
2026-07-07 15:53:26 | INFO     | ss_crawler | [ram_scraper] Found 32 listings on page 1, 32 new
2026-07-07 15:53:26 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/bkchfc.html
2026-07-07 15:53:29 | INFO     | ss_crawler | [ram_scraper] Matched bkchfc: SK Hynix HMT41GU6MFR8C-PB 8 GB (100% confidence)
2026-07-07 15:53:29 | INFO     | ss_crawler | [ram_scraper] 💰 bkchfc: Updated (title)
2026-07-07 15:53:29 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/bkchfc.html
2026-07-07 15:53:31 | INFO     | ss_crawler | [ram_scraper] Matched bkchfc: SK Hynix HMT41GU6MFR8C-PB 8 GB (100% confidence)
2026-07-07 15:53:31 | INFO     | ss_crawler | [ram_scraper] 💰 bkchfc: Updated (content)
2026-07-07 15:53:31 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/bkchfc.html
2026-07-07 15:53:34 | INFO     | ss_crawler | [ram_scraper] Matched bkchfc: SK Hynix HMT41GU6MFR8C-PB 8 GB (100% confidence)
2026-07-07 15:53:34 | INFO     | ss_crawler | [ram_scraper] 💰 bkchfc: Updated (content)
2026-07-07 15:53:34 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/fifdl.html
2026-07-07 15:53:36 | INFO     | ss_crawler | [ram_scraper] Matched fifdl: TEAMGROUP Elite Plus 16 GB (100% confidence)
2026-07-07 15:53:36 | INFO     | ss_crawler | [ram_scraper] 💰 fifdl: Updated (title)
2026-07-07 15:53:36 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/djllh.html
2026-07-07 15:53:39 | INFO     | ss_crawler | [ram_scraper] Matched djllh: Corsair Vengeance RGB Pro 32 GB (100% confidence)
2026-07-07 15:53:39 | INFO     | ss_crawler | [ram_scraper] 💰 djllh: Updated (title)
2026-07-07 15:53:39 | INFO     | ss_crawler | [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ram/fnbnn.html
2026-07-07 15:53:42 | INFO     | ss_crawler | [ram_scraper] Matched fnbnn: SK Hynix hma81gu6cjr8n-vk 8 GB (100% confidence)
