2026-05-13 07:34:39 | INFO     | ss_crawler | [cpu_scraper] Initializing CPU scraper...
2026-05-13 07:34:39 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-13 07:34:39 | INFO     | ss_crawler | [cpu_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-13 07:34:40 | INFO     | ss_crawler | [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-05-13 07:34:40 | INFO     | ss_crawler | [cpu_scraper] Loaded 5320 CPU references
2026-05-13 07:34:40 | INFO     | ss_crawler | [cpu_scraper] CPU scrape run started: ID 20
2026-05-13 07:34:40 | INFO     | ss_crawler | [cpu_scraper] Fetching CPU category: https://www.ss.com/lv/electronics/computers/completing-pc/cpu/
2026-05-13 07:34:40 | INFO     | ss_crawler | [crawler] Fetching CPU category page: https://www.ss.com/lv/electronics/computers/completing-pc/cpu/
2026-05-13 07:34:42 | INFO     | ss_crawler | [cpu_parser] Found 30 listings on page
2026-05-13 07:34:42 | INFO     | ss_crawler | [cpu_scraper] Found 30 CPU listings to process
2026-05-13 07:34:42 | INFO     | ss_crawler | [crawler] Fetching CPU listing 1/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/eggjp.html
2026-05-13 07:34:44 | INFO     | ss_crawler | [repository] ✨ eggjp: New
2026-05-13 07:34:44 | INFO     | ss_crawler | [cpu_scraper] UNMATCHED: No CPU match found
2026-05-13 07:34:44 | INFO     | ss_crawler | [crawler] Fetching CPU listing 2/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/mjffp.html
2026-05-13 07:34:46 | INFO     | ss_crawler | [repository] ✨ mjffp: New - Intel Core i5-9400F
2026-05-13 07:34:46 | INFO     | ss_crawler | [cpu_scraper] NEW: Processed: new
2026-05-13 07:34:46 | INFO     | ss_crawler | [crawler] Fetching CPU listing 3/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/pjlmb.html
2026-05-13 07:34:48 | INFO     | ss_crawler | [repository] ✨ pjlmb: New - Intel Pentium G4560 @ 3.50GHz
2026-05-13 07:34:48 | INFO     | ss_crawler | [cpu_scraper] NEW: Processed: new
2026-05-13 07:34:48 | INFO     | ss_crawler | [crawler] Fetching CPU listing 4/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/pjlnl.html
2026-05-13 07:34:51 | INFO     | ss_crawler | [repository] ✨ pjlnl: New - AMD Ryzen 7 9700X
2026-05-13 07:34:51 | INFO     | ss_crawler | [cpu_scraper] NEW: Processed: new
2026-05-13 07:34:51 | INFO     | ss_crawler | [crawler] Fetching CPU listing 5/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/fnfhp.html
2026-05-13 07:34:53 | INFO     | ss_crawler | [repository] ✨ fnfhp: New - Intel Core i7-4770
2026-05-13 07:34:53 | INFO     | ss_crawler | [cpu_scraper] NEW: Processed: new
2026-05-13 07:34:53 | INFO     | ss_crawler | [crawler] Fetching CPU listing 6/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/cpu/hdkkj.html
