2026-04-26 00:02:00 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Initializing SSD scraper...
2026-04-26 00:02:00 | INFO     | ss_crawler | [database] [database] Database connected: localhost:5433/ss_market
2026-04-26 00:02:00 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-04-26 00:02:00 | INFO     | ss_crawler | [ssd_matcher] [ssd_matcher] SSDMatcher initialized with 2450 SSDs
2026-04-26 00:02:00 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Loaded 2450 SSD references
2026-04-26 00:02:00 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Starting SSD scraper from https://www.ss.com/lv/electronics/computers/completing-pc/ssd/
2026-04-26 00:02:00 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Fetching page 1: https://www.ss.com/lv/electronics/computers/completing-pc/ssd/
2026-04-26 00:02:00 | INFO     | ss_crawler | [crawler] [crawler] Fetching : https://www.ss.com/lv/electronics/computers/completing-pc/ssd/
2026-04-26 00:02:03 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Found 32 listings on page 1, 32 new
2026-04-26 00:02:03 | INFO     | ss_crawler | [crawler] [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ssd/bomngi.html
2026-04-26 00:02:06 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Matched bomngi: Kingston A400 (100% confidence)
2026-04-26 00:02:06 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] 🔄 bomngi: Updated (content)
2026-04-26 00:02:06 | INFO     | ss_crawler | [crawler] [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ssd/bomngi.html
2026-04-26 00:02:09 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Matched bomngi: Kingston A400 (100% confidence)
2026-04-26 00:02:09 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] 🔄 bomngi: Updated (content)
2026-04-26 00:02:09 | INFO     | ss_crawler | [crawler] [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ssd/bomngi.html
2026-04-26 00:02:12 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Matched bomngi: Kingston A400 (100% confidence)
2026-04-26 00:02:12 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] 🔄 bomngi: Updated (content)
2026-04-26 00:02:12 | INFO     | ss_crawler | [crawler] [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ssd/bopogj.html
2026-04-26 00:02:14 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Matched bopogj: ADATA SU800/SX850 (100% confidence)
2026-04-26 00:02:14 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] 🔄 bopogj: Updated (content)
2026-04-26 00:02:14 | INFO     | ss_crawler | [crawler] [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ssd/bojpof.html
2026-04-26 00:02:17 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] Matched bojpof: Kingston A400 (100% confidence)
2026-04-26 00:02:17 | INFO     | ss_crawler | [ssd_scraper] [ssd_scraper] 🔄 bojpof: Updated (content)
2026-04-26 00:02:17 | INFO     | ss_crawler | [crawler] [crawler] Fetching : https://www.ss.com/msg/lv/electronics/computers/completing-pc/ssd/bbbffd.html
