2026-05-18 00:03:45 | INFO     | ss_crawler | [crawler] Fetching test: https://www.ss.com/msg/lv/electronics/computers/pc/lpgxh.html
2026-05-18 00:05:03 | INFO     | ss_crawler | [computer_scraper] Initializing computer scraper...
2026-05-18 00:05:03 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-18 00:05:03 | INFO     | ss_crawler | [computer_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-18 00:05:04 | INFO     | ss_crawler | [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-05-18 00:05:04 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
2026-05-18 00:05:04 | INFO     | ss_crawler | [ram_matcher] RAMMatcher initialized with 5284 RAM references
2026-05-18 00:05:04 | INFO     | ss_crawler | [ssd_matcher] SSDMatcher initialized with 2450 SSDs
2026-05-18 00:05:04 | INFO     | ss_crawler | [psu_matcher] PSUMatcher initialized with 2895 PSU references
2026-05-18 00:05:04 | INFO     | ss_crawler | [case_matcher] CaseMatcher initialized with 5740 case references
2026-05-18 00:05:06 | INFO     | ss_crawler | [motherboard_matcher] MotherboardMatcher initialized with 5729 motherboards
2026-05-18 00:05:06 | INFO     | ss_crawler | [computer_matcher] ComputerMatcher initialized: 5320 CPUs, 631 GPUs, 5284 RAMs, 2450 SSDs, 2895 PSUs, 5740 Cases, 5729 Motherboards
2026-05-18 00:05:06 | INFO     | ss_crawler | [computer_scraper] Loaded references: 5320 CPUs, 631 GPUs, 5284 RAMs, 2450 SSDs, 2895 PSUs, 5740 Cases, 5729 Motherboards
2026-05-18 00:05:06 | INFO     | ss_crawler | [computer_scraper] Initializing computer scraper...
2026-05-18 00:05:06 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-18 00:05:06 | INFO     | ss_crawler | [computer_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-18 00:05:06 | INFO     | ss_crawler | [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-05-18 00:05:06 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
2026-05-18 00:05:07 | INFO     | ss_crawler | [ram_matcher] RAMMatcher initialized with 5284 RAM references
2026-05-18 00:05:07 | INFO     | ss_crawler | [ssd_matcher] SSDMatcher initialized with 2450 SSDs
2026-05-18 00:05:07 | INFO     | ss_crawler | [psu_matcher] PSUMatcher initialized with 2895 PSU references
2026-05-18 00:05:07 | INFO     | ss_crawler | [case_matcher] CaseMatcher initialized with 5740 case references
2026-05-18 00:05:08 | INFO     | ss_crawler | [motherboard_matcher] MotherboardMatcher initialized with 5729 motherboards
2026-05-18 00:05:08 | INFO     | ss_crawler | [computer_matcher] ComputerMatcher initialized: 5320 CPUs, 631 GPUs, 5284 RAMs, 2450 SSDs, 2895 PSUs, 5740 Cases, 5729 Motherboards
2026-05-18 00:05:08 | INFO     | ss_crawler | [computer_scraper] Loaded references: 5320 CPUs, 631 GPUs, 5284 RAMs, 2450 SSDs, 2895 PSUs, 5740 Cases, 5729 Motherboards
2026-05-18 00:05:08 | INFO     | ss_crawler | [crawler] Fetching single computer listing: https://www.ss.com/msg/lv/electronics/computers/pc/lpgxh.html
2026-05-18 00:05:12 | INFO     | ss_crawler | [computer_scraper] Single scrape result: new - New: Datori un orgtehnika/Datori/ Pārdod...
2026-05-18 00:05:33 | INFO     | ss_crawler | [crawler] Fetching test: https://www.ss.com/msg/lv/electronics/computers/pc/lpgxh.html
2026-05-18 00:05:51 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-18 00:06:07 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-18 00:08:44 | INFO     | ss_crawler | [computer_scraper] Initializing computer scraper...
2026-05-18 00:08:44 | INFO     | ss_crawler | [database] Database connected: localhost:5433/ss_market
2026-05-18 00:08:44 | INFO     | ss_crawler | [computer_scraper] Database: postgresql+psycopg2://crawler:crawler_pass@localhost:5433/ss_market
2026-05-18 00:08:45 | INFO     | ss_crawler | [cpu_matcher] CPUMatcher initialized with 5320 CPUs
2026-05-18 00:08:45 | INFO     | ss_crawler | [matcher] GPUMatcher initialized with 631 GPUs
