Title,Loose Price ▼,CIB Price,New Price
NBA Elite 11 Console,"$2,499.99","$2,999.99","$4,500.00"
PlayStation 3 Reference Tool [1000A],"$1,528.14","$1,833.77","$3,209.09"
PlayStation 3 Reference Tool,"$1,090.68","$1,995.00","$2,993.00"
Playstation 3 Test Debug Unit,$997.17,"$1,745.00","$2,618.00"
PlayStation 3 Debugging Station,$645.15,$920.10,"$1,380.00"
Playstation 3 System 320GB [Everybody Dance Bundle],$505.95,$700.00,$899.99
PlayStation 3 System 80GB MotorStorm Bundle,$475.00,$672.27,"$1,194.99"
Assassin's Creed III [Limited Edition Playstation 3 Bundle],$357.14,$499.99,$749.99
Playstation 3 Slim System 250GB [Little Big Planet Karting Bundle],$357.12,$499.97,$749.95
Playstation 3 Batman 3: Beyond Gotham Bundle,$332.86,$466.00,$699.00
Playstation 3 Slim 250GB [Infamous Collection Bundle],$324.52,$469.14,"$1,149.48"
Playstation 3 System 60GB,$318.97,$547.55,"$2,349.50"
PlayStation 3 500GB Super Slim System Lego Batman 3 Bundle,$276.18,$367.35,$899.99
Playstation 3 System 20GB,$265.98,$333.78,$339.99
PlayStation 3 500GB Super Slim System [Lego The Hobbit Bundle],$264.55,$330.64,$532.50
Playstation 3 System 40GB Spiderman Movie Pack,$249.99,$299.99,$450.00
Playstation 3 12GB Console [Disney Infinity: Marvel Super Heroes 2.0 Bundle],$238.10,$333.33,$500.00
PlayStation 3 250GB Super Slim System [The Last of Us Bundle],$219.65,$283.33,$425.00
Playstation 3 System 80GB Metal Gear Solid 4 Pack,$214.50,$477.50,"$1,711.49"
Playstation 3 System 80GB [Backward Compatible],$207.88,$249.46,$374.00
Playstation 3 500GB System God of War Ascension,$190.00,$499.99,"$1,000.00"
Playstation 3 Slim 320GB [Uncharted 3 Bundle],$188.79,$320.32,$774.50
Playstation 3 160GB [Call of Duty Black Ops Bundle],$170.71,$245.65,$579.00
Playstation 3 500GB Destiny Bundle,$165.68,$214.20,$321.00
Playstation 3 Super Slim 250 GB Console Azurite Blue,$161.28,$216.40,$500.00
Playstation 3 Assassin's Creed III Bundle,$147.49,$181.69,$999.94
PlayStation 3 Super Slim [Uncharted 3: Game of the Year Bundle],$146.10,$149.72,$695.00
PlayStation 3 500GB Super Slim System [The Last Of Us Bundle],$135.71,$245.70,$573.57
Playstation 3 Slim 320GB System,$123.14,$179.11,$520.00
Playstation 3 Super Slim System 500GB White,$109.99,$565.99,"$1,499.99"
PlayStation 3 Slim System 320GB PlayStation Move Sports Champions Bundle,$106.54,$506.88,"$1,035.89"
Playstation 3 500GB Super Slim System,$102.75,$169.35,$674.99
Playstation 3 System 80GB,$100.00,$150.00,$381.25
Playstation 3 Slim System 250GB,$100.00,$184.67,$277.00
Playstation 3 Super Slim 250GB System,$98.09,$158.09,$164.19
PlayStation 3 250GB Uncharted 3: Game of the Year Bundle,$91.30,$132.11,$750.00
Playstation 3 Slim System 160GB,$90.00,$167.96,$650.00
Playstation 3 160GB Console [Gran Turismo 5 & Grown Ups Bundle],$82.14,$114.99,$172.49
Playstation 3 System 40GB,$80.00,$173.50,$999.00
Metal Gear Solid 4 Gray Kojima Bundle,$79.99,$673.05,"$1,010.00"
Playstation 3 Slim System 120GB,$78.71,$149.99,$599.99
Playstation 3 System 160GB,$73.63,$98.59,$99.99
Playstation 3 Super Slim System 12GB,$69.95,$87.34,$549.99
Playstation 3 500GB Super Slim System [Ceramic White],,,
Playstation 3 Scarlet Red 500Gb Super Slim System,,,
Playstation 3 System NBA Elite 11 Edition,,,
PlayStation 3 160GB Killzone 3 Bundle,,,
Playstation 3 160GB Uncharted Bundle,,,
PlayStation 3 System 160GB NHL 11 Bundle,,,
Playstation 3 Super Slim 250gb Azul Blue Gran Turismo 6 Bundle,,,
