Title,Loose Price ▼,CIB Price,New Price
PlayStation 4 Development Kit [DUH-D7000AA],"$2,000.00","$2,050.61","$3,000.00"
PlayStation 4 Development Kit [DUH-D1000AA],"$1,898.00","$2,182.70","$2,657.20"
Playstation 4 Pro [Sekiro Shadows Die Twice Edition],"$1,600.75","$1,723.88","$2,241.05"
PlayStation 4 Development Kit [DUH-T7000AA],"$1,262.49","$1,599.50","$2,079.00"
Playstation 4 20th Anniversary Gray Console,$966.13,"$1,660.00","$2,468.36"
Playstation 4 2TB 500 Million Limited Edition,$466.65,$699.99,"$1,280.54"
Playstation 4 500GB [Grand Theft Auto V Bundle],$432.58,$465.85,$611.99
Playstation 4 Pro 1TB Console [NHL 20 Bundle],$342.60,$368.95,$480.67
Playstation 4 Glacier White 500GB [Call Of Duty Infinite Warfare Bundle],$307.14,$330.76,$429.99
Playstation 4 Pro 1TB The Last of Us Part II Console,$300.00,$470.55,$855.83
Playstation 4 Pro 1TB Kingdom Hearts III Console,$295.61,$324.00,$651.64
Playstation 4 Pro 1TB Destiny 2 Console,$282.84,$309.51,$607.00
Playstation 4 Pro 1TB Spiderman Console,$281.20,$338.36,$650.00
Playstation 4 1TB Slim Console Spiderman Bundle,$271.30,$292.17,$376.20
Playstation 4 Pro 1TB White Destiny 2 Console Bundle,$270.00,$431.59,$682.89
Playstation 4 Pro 1TB Death Stranding Console,$252.85,$300.00,$729.87
Playstation 4 500GB Disney Infinity Star Wars Console Bundle,$239.65,$419.23,$545.00
Playstation 4 Pro 1TB Monster Hunter World Console,$229.63,$345.00,$449.00
Playstation 4 500GB Taco Bell Gold Console,$220.00,$886.02,"$1,074.44"
PlayStation 4 500GB Batman Arkham Knight Bundle [Black],$214.29,$230.77,$300.00
Playstation 4 1TB God of War Console,$207.49,$308.00,$879.86
Playstation 4 1TB Slim Days of Play 2019 Console,$206.80,$305.00,$775.11
Playstation 4 Pro 1TB Red Dead Redemption II Bundle,$206.75,$241.54,$314.00
Playstation 4 Pro 1TB Call of Duty Modern Warfare Console Bundle,$201.39,$279.99,$599.99
Sony PlayStation 4 500GB Console Uncharted 4 Limited Edition,$198.20,$235.00,$500.00
Playstation 4 500GB Batman Arkham Knight Bundle,$182.79,$320.00,$694.98
PlayStation 4 Pro Glacier White 1TB,$175.08,$201.50,$777.00
Playstation VR Headset Bundle,$166.25,$204.30,$238.69
PlayStation 4 Console Call of Duty Modern Warfare II Bundle,$163.69,$174.99,$343.24
Playstation 4 1TB Slim Gold Console,$160.85,$249.99,$480.05
Playstation 4 500GB Slim Console Infinite Warfare Bundle,$157.56,$200.00,$260.00
Playstation VR Marvel's Iron Man VR Bundle,$148.88,$184.99,$258.93
Playstation 4 1TB Slim Days of Play Console,$145.11,$300.00,$500.00
Playstation 4 Slim 1TB Call Of Duty WWII Console,$143.63,$247.85,$356.74
Playstation 4 500GB Destiny Taken King Console Bundle,$142.50,$193.31,$336.88
Playstation 4 Pro 1TB Console,$139.57,$160.50,$499.99
Playstation 4 500GB Star Wars Battlefront Bundle,$139.09,$159.99,$425.00
PlayStation VR Launch Bundle,$136.19,$191.08,$199.85
PlayStation 4 Slim Star Wars: Battlefront II Bundle,$134.98,$162.68,$307.86
Playstation 4 1TB Final Fantasy XV Console,$133.94,$341.87,$881.19
PlayStation VR [Borderlands 2 Beat Saber Bundle],$131.00,$131.75,$171.00
Playstation 4 1TB Slim Console,$130.57,$145.00,$309.20
Playstation 4 500GB Last of Us Remastered Console Bundle,$129.95,$197.39,$353.29
Playstation 4 500GB Console Uncharted 4 Bundle,$128.94,$135.00,$311.80
Playstation 4 500GB Destiny Console Bundle,$127.50,$140.50,$799.95
Playstation 4 Pro 1TB Star Wars Battlefront II Console,$126.25,$247.64,$438.35
Playstation 4 1TB Black Ops III Console,$124.24,$194.49,$477.00
Playstation 4 500GB Black Ops III Console,$123.74,$179.09,$310.26
Playstation 4 500GB Console Uncharted The Nathan Drake Collection Bundle,$119.00,$337.47,$313.32
PlayStation 4 Glacier White 500 GB,$115.27,$280.37,$500.00
PlayStation VR Doom Bundle,$110.00,$144.99,$188.00
Playstation 4 Jet Black 500GB [Star Wars: Battlefront Bundle],$100.00,$268.43,$425.00
Playstation 4 Slim 1TB [Call Of Duty Black Ops 4 Bundle],$98.96,$109.28,$350.00
Playstation 4 500GB Black Console,$95.72,$109.95,$148.95
Playstation 4 500GB Slim Console,$81.38,$220.00,$530.87
"PlayStation 4 The Last Of Us, God Of War, Horizon Zero Dawn Bundle",,,
Playstation VR Bundle Grab Turismo Sport,,,
Playstation VR Bundle [Astro Bot + Moss + Demo Disc 2.0 + PS Camera],,,
Playstation 4 Yuengling Limited Edition Console,,,
Playstation 4 Interactive Kiosk,,,
PlayStation VR Mega Pack Bundle,,,
Playstation 4 500 GB [4 Games One Pick Bundle],,,
Playstation 4 500GB Bloodborne Console,,,
PlayStation 4 Pro Death Stranding Limited Edition [Influencer],,,
PlayStation VR Blood & Truth And Everybody's Golf VR Bundle,,,
